28	29
1	17	13	13	0	0	0	
1	16	12	14	0	13	0	
1	39	12	13	12	13	0	
2	2	11	14	0	0	0	
1	47	11	13	13	0	0	
2	56	10	14	0	14	0	
2	8	10	13	10	14	0	
2	19	9	14	11	0	0	
3	53	9	14	0	0	0	
3	42	10	12	0	14	0	
3	10	10	11	9	0	0	
3	15	9	12	10	11	0	
2	34	8	13	20	0	0	
2	22	8	13	20	13	0	
3	36	9	11	19	0	0	
3	33	8	11	19	11	0	
4	31	6	14	0	0	0	
4	23	6	14	0	14	0	
4	41	6	14	6	0	0	
4	26	6	14	6	14	0	
4	1	8	10	12	0	0	
4	35	8	10	12	10	0	
4	4	7	11	20	0	0	
4	24	7	10	20	11	0	
5	5	5	14	0	0	0	
5	32	5	14	0	14	0	
5	12	6	10	5	0	0	
5	27	6	10	5	10	0	
5	50	6	10	11	0	0	
5	29	5	12	11	10	0	
4	46	7	8	12	20	0	
1	52	4	13	24	0	0	
1	38	4	13	24	13	0	
5	25	5	10	16	10	0	
3	40	7	7	19	22	0	
5	37	4	12	21	0	0	
5	11	5	9	5	20	0	
5	55	4	11	21	12	0	
4	20	6	7	19	21	0	
5	45	6	7	10	22	0	
6	21	6	7	0	0	0	
5	6	4	10	17	0	0	
5	14	3	11	25	0	0	
5	54	3	11	25	11	0	
5	18	4	8	16	20	0	
3	30	5	6	10	23	0	
5	44	5	6	20	23	0	
6	13	3	10	0	7	0	
6	28	4	7	0	17	0	
6	51	5	5	0	24	0	
4	7	3	8	25	21	0	
6	9	3	8	3	7	0	
3	48	3	6	15	23	0	
5	49	3	5	25	22	0	
6	3	3	5	4	15	0	
1	43	3	3	12	26	0	
